Tips have not been separated into title and body yet,,
CATEGORY,TIP TITLE (optional),TIP BODY
Home Cooking,"Keep track of what’s in your kitchen. Plan meals according to what you have, and what’s expiring soon.",
Home Cooking,Cook just enough. Determine the amount to be cooked with the diners’ appetites and eating habits in mind.,
Home Cooking,Use off-cuts or the equivalent. Off-cuts of meat and vegetable stems or roots can be used to make stocks. Citrus fruit rinds and zest can add flavour to other dishes.,
Home Cooking,"Share. Pack any excess food for your guests, friends or neighbours.",
Home Cooking,"Cook a “use-it-up” meal every week. Use only what’s already in your kitchen, including leftovers.",
Home Cooking,"“The recipe only requires egg whites / vegetable leaves / etc.” Use the remaining parts (yolks, stalks, etc) in a different dish, rather than throw them away.",
Home Cooking,“I ruined the dish. Throw it away!” Avoid being distracted by your TV or mobile phone while cooking.,
Home Cooking,Check your kitchen before going grocery shopping. This prevents duplicate purchases.,
Home Cooking,Plan your purchases ahead. Make a shopping list and keep to it.,
Home Cooking,"Look past the imperfections. Odd-looking, bruised and blemished fruits and vegetables can be trimmed and used for cooking.",
Home Cooking,"“I rarely visit the supermarket, so I better stock up.” Prepare a shopping list. Avoid buying a lot of perishables.",
Home Cooking,"“The jumbo pack was only $0.50 more.” Buying a larger size may seem more economical, but it’s not if you don’t eventually use all of it.",
Home Cooking,"""It was on offer."" Items on offer may be expiring soon. Buy only if you will consume it before expiry.",
Home Cooking,Store it correctly. Follow the storage instructions on the product’s packaging. Some items must be kept in the fridge after opening.,
Home Cooking,"Check your fridge. The chiller operates best between 0°C and 4°C, and the freezer at -18°C and below.",
Home Cooking,"Store better. Chips, crackers and cereals last the longest when kept in airtight containers. Airtight bag clips are also an affordable option.",
Home Cooking,"Practise “first to expire, first out.” Place products that are nearer to their expiry dates at the front of the fridge, freezer or cabinet. This reminds you to use them as soon as possible.",
Home Cooking,Use the freezer. Box up leftovers by the portion and freeze them so that they last longer and can be reheated easily for the next meal.,
Home Cooking,"“This food has been stored for too long, so I’ll throw it away.” Label and date any food that you store, so that you’ll know when to consume it.",
Home Cooking,Keep garlic and onions fresh. Put garlic and onions in mesh bags (e.g. unused stockings) to keep them fresh.,
Home Cooking,Prevent bananas from ripening too fast. Wrap the stem of bananas with a plastic wrap to keep them for a longer time.,
Home Cooking,"Let celery last longer. Trim the leafy tops off celery, then wrap the trimmed celery tightly in aluminium foil and refrigerate it so it stays fresh for a longer time. Save the leaves for a tasty salad meal.",
Home Cooking,"Make full use of chocolate spread. Finished your chocolate spread? Pour some warm milk into a jar, cap it, and shake it up for a delicious cup of hot cocoa.",
Home Cooking,"Keep herbs fresh and handy. Mix chopped herbs with butter or olive oil and freeze them in an ice-cube tray. Use the frozen cubes to season popcorn, meat or steamed vegetables, or defrost to spread on toast!",
Home Cooking,"Grow your own ingredients. Throw leftover ginger, garlic or scallions into a pot of soil. You’ll get a new pot of ingredients in 2 weeks!",
Home Cooking,"Make your own all-purpose home cleaner. Turn citrus peels into an all-purpose home cleaner with these simple steps: 1. Fill half a large glass jar with citrus peels. 2. Pour vinegar in until it fills the jar, close the lid tightly, and place the jar in a dark place for 2 weeks. 3. Strain the mixture using a fine mesh sieve placed over a large bowl, then discard the peels. 4. Pour the liquid into a spray bottle, and start cleaning with it!",
Festive Events,Give away excess food from your hamper. Consider sharing or donating excess non-perishables.,
Festive Events,Make chips crispy again. Chips and nuts that have turned soft can be made crispy again after baking for a few minutes.,
Festive Events,Freeze your leftovers in small portions. Divide leftovers into small portions and pack them into airtight containers before freezing them.,
Festive Events,"Go small. Provide smaller plates for guests to encourage smaller portions, reducing the amount left on plates.",
Festive Events,Give with thought. Avoid highly perishable items. Choose food gifts that you know the recipient would enjoy.,
Festive Events,Prepare just enough. • Make a shopping list and check it twice. Buy only what you need. • Cater for 10-15% less than the number of expected guests.,
,,
,,
,,
,,
Title: row 41 to 61 column 1 Body: row 41 to 61 column 2,,
,,
Donate Your Food,"DONATE YOUR EXCESS FOOD Do you have any canned food that you are unlikely to consume? As long as they are unopened and not expired, you can donate them to the needy, via organisations such as Food Bank Singapore, Food from the Heart and Fei Yue Community Services. It’s a great way to prevent food wastage and help the needy at the same time.",
Eating Out,“That dish didn’t taste good.” Give your feedback to the restaurant so they can improve the dish and avoid future wastage.,
Eating Out,“Let’s try everything!” Come back another day to try other dishes or order a second serving after you’ve finished the dish.,
Eating Out,"“Don’t finish the rice, just eat the meat!” Appreciate the effort that goes into producing your food by finishing everything on your plate.",
Eating Out,"Order only what you can eat. Start with less food on the table and order more later, if you need to.",
Eating Out,Ask for advice. Consult the server on portion sizes to determine how much to order.,
Eating Out,"Downsize your order. If you intend to eat less, ask for a smaller portion.",
Eating Out,"Swap sides. If a dish contains something you don’t eat, request for a replacement when ordering.",
Eating Out,Share dishes. Offer a portion to your dining partner(s) before you start eating.,
Eating Out,Don’t rush to order more. It takes 15-20 minutes after eating to start feeling full.,
Parties and Events,"“I must ensure everyone has more than enough to eat.” If you have to provide a large amount of food, portion before serving so that leftovers are kept clean for storage.",
Parties and Events,“I don’t know how to estimate how much food is needed.” Try using the free Healthy Chef app by Health Promotion Board. It helps you adjust recipes based on the number of servings required.,
Parties and Events,Provide just enough. Downsize the portions of each dish if you are planning to serve a variety of dishes.,
Parties and Events,Know what your guests are bringing. Potluck meals should be carefully planned. Ask your guests the type and quantity of food that they’re bringing.,
Parties and Events,"Cater for less than the actual number of guests. When catering for an event, it’s usually safe to order for 10% to 15% less than the number of guests attending.",
Parties and Events,Keep it neat. Encourage your guests to not leave any scraps on their plates. It makes cleaning easier and minimises food wastage.,
Office Pantry,“I've got to buy plenty of snacks for the office when I return from holiday!” Consider what your colleagues are more likely to eat and buy just enough snacks for sharing in the office!,
Office Pantry,"Label your food with purchase or expiry dates, so you can enjoy them before they turn bad.",
Office Pantry,"Set up an ""Eat These First"" area. Gather the soon-to-expire food and place them in that area. Encourage your colleagues to help themselves to those food!",
Office Pantry,It’s “Clear the Pantry” Day! Set aside a day every week and get your colleagues to finish up the food.,
Office Pantry,"Check before you buy. Before buying snacks for the office, call to check on the quantity to buy so they don’t go to waste.",